Week ,total_rain,avg_rain,no_days_rain,temp_8am,temp_12nn,temp_2pm,temp_8pm,avg_temp,rh_8am,rh_12nn,rh_2pm,rh_8pm,avg_rh,total_rain_era,temp_era,Year,YLI,YLS,TFL,Shooting,Control
1,10.5,1.5,1,26.29,28.94,5.03,26.06,21.58,91.43,84.86,7.86,89.71,68.46,31,24.518,2022,6,8.4,11.4,11.83333333,PlantationPractice_WithProtectant
2,54.5,7.79,2,25.9,30.46,35.47,26.74,29.64,97,78,58.43,87.57,80.25,43,23.79,2022,5.4,8,11.76,11.43333333,PlantationPractice_WithProtectant
3,50.5,7.21,3,26.86,31.33,29.07,25.01,28.07,91.43,73.29,74.57,93.86,83.29,98,23.856,2022,,,,,PlantationPractice_WithProtectant
4,56.5,8.07,6,18.63,21.43,22.71,20.93,20.93,67.86,56.14,48.43,59,57.86,36,24.151,2022,,,,,PlantationPractice_WithProtectant
5,41,5.86,3,25.27,29.11,32.07,27.23,28.42,95.14,72.57,70.57,87.14,81.36,41,24.287,2022,,,,,PlantationPractice_WithProtectant
6,16.4,2.34,6,25.97,29.64,31.19,27.31,28.53,92.43,72.57,69.14,86.43,80.14,13,24.552,2022,,,,,PlantationPractice_WithProtectant
7,11.7,1.67,4,28.1,29.61,31.39,26.26,28.84,79.86,76.43,68.57,90.86,78.93,40,23.42,2022,,,,,PlantationPractice_WithProtectant
8,96.3,13.76,5,24.93,29.14,30.5,25.26,27.46,97.43,81,77.29,94,87.43,45,24.307,2022,,,,,PlantationPractice_WithProtectant
9,93.7,13.39,6,25.86,29.73,31.26,26.5,28.34,96.14,78.57,73.57,89,84.32,146,24.14,2022,,,,,PlantationPractice_WithProtectant
10,35.6,5.09,7,27.63,35.84,32.23,30.46,31.54,90,81.43,74.86,104.86,87.79,89,24.894,2022,,,,,PlantationPractice_WithProtectant
11,11.7,1.67,6,26.64,30.99,31.6,26.97,29.05,91.57,77.43,74.29,91,83.57,37,24.927,2022,,,,,PlantationPractice_WithProtectant
12,9.4,1.34,4,27.21,31.07,31.4,27.33,29.25,89.71,69.43,72.57,90,80.43,120,24.247,2022,,,,,PlantationPractice_WithProtectant
13,49.8,7.11,4,26.63,32.09,30.81,26.61,29.04,93.86,66,71,91.57,80.61,188,23.894,2022,,,,,PlantationPractice_WithProtectant
14,77.1,11.01,5,28.9,32.33,32.89,26.1,30.05,90.71,78.57,74.71,94.43,84.61,44,24.882,2022,,,,,PlantationPractice_WithProtectant
15,87,12.43,4,29.16,32.66,32.86,26.84,30.38,76,67.71,65.86,88.86,74.61,88,24.747,2022,,,,,PlantationPractice_WithProtectant
16,10.3,1.47,6,28.6,32.8,31.34,27.63,30.09,85.29,71.14,76.14,90.29,80.71,111,24.599,2022,,,,,PlantationPractice_WithProtectant
